key,en,ko
first_exercise_of_managed,First Experience of Managed Exercise,관리 받는 운동의 첫 경험
login_with_kakao,Login with Kakao,카카오로 시작하기
login_with_naver,Login with Naver,네이버로 시작하기
login_with_apple,Login with Apple,Apple로 시작하기
starting_in_different_way,Login with Email,이메일로 시작하기
term_of_use_1,"By logging in, you agree to the ",로그인 시 
term_of_use_2,Privacy Policy,개인정보 처리방침
term_of_use_3, \nand ,과 
term_of_use_4,Terms of Service,서비스 이용약관
term_of_use_5,.,에\n동의한 것으로 간주합니다.
canceled,Canceled.,취소되었습니다.
error,Error: @error,에러: @error
naver_login_error,Naver Login Error,네이버 로그인 에러
privacy_policy,Privacy Policy,개인정보 이용약관
terms_and_condition,Terms and Conditions,서비스 이용약관
html_error_message,Failed to load HTML content on the web.,웹에서 HTML 콘텐츠를 불러오지 못했습니다.
letter_number_symbol_requirement,"Only letters, numbers, and some symbols (_, .) are allowed.","문자 + 숫자 + 일부기호(_,.)만 입력 가능"
max_char_requirement,Maximum of 12 characters allowed. Check for duplicate nicknames., 12자 초과 입력 막음 닉네임 중복 체크
duplicated_nick_name,Duplicate nickname.,중복된 닉네임 입니다
photo_error,Photo Error: @error,사진 에러: @error
permission_denied,Permission denied.,권한이 거부되었습니다.
permission_denied_desc,Permission has been denied. Please allow the app permissions in your phone settings if you want to use this feature.,권한이 거부되었습니다. 기능 사용을 원하실 경우 휴대폰 설정에서 해당 앱의 권한을 허용해주세요
decorate_profile_image,Decorate your profile image,프로필 이미지를 꾸며보세요
select_from_gallery,Select from Gallery,앨범 선택
take_photo,Take a Photo,사진 촬영
save,Save,저장
choose_level_of_exercise,Choose your exercise level,운동 수준을 선택해 주세요
select_at_least_one_exercise_purpose,Please select at least one exercise purpose,1개 이상의 운동 목적을 선택해주세요
select_at_least_one_activity_level,Please select at least one activity level,1개 이상의 활동량을 선택해주세요
select_all_items,Please select all items,항목을 모두 선택해주세요
enter_only_numbers,Please enter only numbers.,숫자만 입력해 주세요.
enter_all_membership_information,Please enter all membership information,회원정보를 모두 입력해주세요
step_permission,Data permission for step measurement,걸음 수 측정을 위한 데이터 권한
chest_muscle_strength,Chest Strength,가슴 근육 힘
lower_muscle_strength,Quadriceps Strength,하체 전방 근육 힘
back_muscle_strength,Back Strength,등 근육 힘
lower_lateral_muscle_strength,Hamstring Strength,하체 후방 근육 힘
dislike_workout,I don't enjoy working out,운동을 잘 하지않아요
dislike_workout_recommendation,I don't like the workout recommendations,운동 추천이 별로에요
dislike_the_app,I didn't know it was this kind of application,이런 어플리케이션인지 몰랐어요
etc,Other,기타
agree_to_delete,Please agree to the information deletion,정보 삭제 동의를 해주세요
