key,en,ko,tw,new_word
first_exercise_of_managed,First Experience of Managed Exercise,관리 받는 운동의 첫 경험,管理鍛鍊的初體驗,existing
login_with_kakao,Login with Kakao,카카오로 시작하기,使用Kakao登入,existing
login_with_naver,Login with Naver,네이버로 시작하기,使用 Naver 登入,existing
login_with_apple,Login with Apple,Apple로 시작하기,使用蘋果登入,existing
term_of_use_1,"By logging in, you agree to the ",로그인 시,登入即表示您同意,existing
term_of_use_2,Privacy Policy,개인정보 처리방침,隱私權政策,existing
term_of_use_3, \nand ,과,\n和,existing
term_of_use_4,Terms of Service,서비스 이용약관,服務條款,existing
term_of_use_4,Terms of Service,서비스 이용약관,條款與條件,existing
term_of_use_5,.,에\n동의한 것으로 간주합니다.,您將被視為已同意/n此。,existing
canceled,Canceled.,취소되었습니다.,取消。,existing
error,Error: @error,에러: @error,錯誤：@錯誤,existing
naver_login_error,Naver Login Error,네이버 로그인 에러,Naver 登入錯誤,existing
privacy_policy,Privacy Policy,개인정보 이용약관,隱私權政策,existing
terms_and_condition,Terms and Conditions,서비스 이용약관,服務條款,existing
terms_and_condition,Terms and Conditions,서비스 이용약관,條款與條件,existing
html_error_message,Failed to load HTML content on the web.,웹에서 HTML 콘텐츠를 불러오지 못했습니다.,無法載入網路上的 HTML 內容。,existing
letter_number_symbol_requirement,"Only letters, numbers, and some symbols (_, .) are allowed.","문자 + 숫자 + 일부기호(_,.)만 입력 가능",只允許使用字母、數字和一些符號（_、.）。,existing
max_char_requirement,Maximum of 12 characters allowed. Check for duplicate nicknames.,12자 초과 입력 막음 닉네임 중복 체크,最多允許 12 個字元。檢查是否有重複的暱稱。,existing
duplicated_nick_name,Duplicate nickname.,중복된 닉네임 입니다,暱稱重複。,existing
photo_error,Photo Error: @error,사진 에러: @error,照片錯誤：@error,existing
permission_denied,Permission denied.,권한이 거부되었습니다.,沒有權限。,existing
permission_denied_desc,Permission has been denied. Please allow the app permissions in your phone settings if you want to use this feature.,권한이 거부되었습니다. 기능 사용을 원하실 경우 휴대폰 설정에서 해당 앱의 권한을 허용해주세요,許可已被拒絕。如果您想使用此功能，請在手機設定中允許應用程式權限。,existing
decorate_profile_image,Decorate your profile image,프로필 이미지를 꾸며보세요,裝飾您的個人資料圖片,existing
select_from_gallery,Select from Gallery,앨범 선택,從圖庫中選擇,existing
take_photo,Take a Photo,사진 촬영,拍張照片,existing
save,Save,저장,節省,existing
choose_level_of_exercise,Choose your exercise level,운동 수준을 선택해 주세요,選擇您的運動水平,existing
select_at_least_one_exercise_purpose,Please select at least one exercise purpose,1개 이상의 운동 목적을 선택해주세요,請至少選擇一項運動目的,existing
select_at_least_one_activity_level,Please select at least one activity level,1개 이상의 활동량을 선택해주세요,請至少選擇一個活動級別,existing
select_all_items,Please select all items,항목을 모두 선택해주세요,請選擇所有項目,existing
enter_only_numbers,Please enter only numbers.,숫자만 입력해 주세요.,請僅輸入數字。,existing
enter_all_membership_information,Please enter all membership information,회원정보를 모두 입력해주세요,請輸入所有會員資訊,existing
step_permission,Data permission for step measurement,걸음 수 측정을 위한 데이터 권한,步數測量數據權限,existing
chest_muscle_strength,Chest Strength,가슴 근육 힘,胸部力量,existing
lower_muscle_strength,Quadriceps Strength,하체 전방 근육 힘,股四頭肌力量,existing
back_muscle_strength,Back Strength,등 근육 힘,背部力量,existing
lower_lateral_muscle_strength,Hamstring Strength,하체 후방 근육 힘,腿筋力量,existing
dislike_workout,I don't enjoy working out,운동을 잘 하지않아요,我不喜歡鍛煉,existing
dislike_workout,I don't enjoy working out,운동을 잘 하지않아요,我不常運動。,existing
dislike_workout_recommendation,I don't like the workout recommendations,운동 추천이 별로에요,我不喜歡運動建議,existing
dislike_the_app,I didn't know it was this kind of application,이런 어플리케이션인지 몰랐어요,我不知道這是這樣的應用程式,existing
