ko,en,tw
관리 받는 운동의 첫 경험,First Experience of Managed Exercise,管理鍛鍊的初體驗
카카오로 시작하기,Login with Kakao,使用Kakao登入
네이버로 시작하기,Login with Naver,使用 Naver 登入
Apple로 시작하기,Login with Apple,使用蘋果登入
다른 방법으로 시작하기,Start in a Different Way,以不同的方式開始
로그인 시,"By logging in, you agree to the",登入即表示您同意
개인정보 처리방침,Privacy Policy,隱私權政策
과,\nand,\n和
서비스 이용약관,Terms of Service,服務條款
에\n동의한 것으로 간주합니다.,.,您將被視為已同意/n此。
취소되었습니다.,Canceled.,取消。
에러: @error,Error: @error,錯誤：@錯誤
네이버 로그인 에러,Naver Login Error,Naver 登入錯誤
개인정보 이용약관,Privacy Policy,隱私權政策
서비스 이용약관,Terms and Conditions,條款與條件
웹에서 HTML 콘텐츠를 불러오지 못했습니다.,Failed to load HTML content on the web.,無法載入網路上的 HTML 內容。
"문자 + 숫자 + 일부기호(_,.)만 입력 가능","Only letters, numbers, and some symbols (_, .) are allowed.",只允許使用字母、數字和一些符號（_、.）。
12자 초과 입력 막음 닉네임 중복 체크,Maximum of 12 characters allowed. Check for duplicate nicknames.,最多允許 12 個字元。檢查是否有重複的暱稱。
중복된 닉네임 입니다,Duplicate nickname.,暱稱重複。
사진 에러: @error,Photo Error: @error,照片錯誤：@error
권한이 거부되었습니다.,Permission denied.,沒有權限。
권한이 거부되었습니다. 기능 사용을 원하실 경우 휴대폰 설정에서 해당 앱의 권한을 허용해주세요,Permission has been denied. Please allow the app permissions in your phone settings if you want to use this feature.,許可已被拒絕。如果您想使用此功能，請在手機設定中允許應用程式權限。
프로필 이미지를 꾸며보세요,Decorate your profile image,裝飾您的個人資料圖片
앨범 선택,Select from Gallery,從圖庫中選擇
사진 촬영,Take a Photo,拍張照片
저장,Save,節省
운동 수준을 선택해 주세요,Choose your exercise level,選擇您的運動水平
1개 이상의 운동 목적을 선택해주세요,Please select at least one exercise purpose,請至少選擇一項運動目的
1개 이상의 활동량을 선택해주세요,Please select at least one activity level,請至少選擇一個活動級別
항목을 모두 선택해주세요,Please select all items,請選擇所有項目
숫자만 입력해 주세요.,Please enter only numbers.,請僅輸入數字。
회원정보를 모두 입력해주세요,Please enter all membership information,請輸入所有會員資訊
걸음 수 측정을 위한 데이터 권한,Data permission for step measurement,步數測量數據權限
가슴 근육 힘,Chest Strength,胸部力量
하체 전방 근육 힘,Quadriceps Strength,股四頭肌力量
등 근육 힘,Back Strength,背部力量
하체 후방 근육 힘,Hamstring Strength,腿筋力量
운동을 잘 하지않아요,I don't enjoy working out,我不喜歡鍛煉
운동 추천이 별로에요,I don't like the workout recommendations,我不喜歡運動建議
이런 어플리케이션인지 몰랐어요,I didn't know it was this kind of application,我不知道這是這樣的應用程式
기타,Other,其他
정보 삭제 동의를 해주세요,Please agree to the information deletion,請同意資訊刪除
유효한 BPM을 입력해주세요.,Please enter a valid BPM.,請輸入有效的 BPM。
인터넷 연결 없음,No internet connection,沒有網路連線
취소,Cancel,取消
로그아웃,Logout,退出
알림,Notification,通知
로그아웃 하시겠습니까?,Do you want to logout?,您想退出嗎？
비밀번호 재설정,Reset Password,重設密碼
휴대폰 번호를 통한 비밀번호 재설정을 진행합니다.,Reset your password using your phone number.,使用您的電話號碼重設密碼。
다음,Next,下一個
아이디 찾기,Find ID,尋找身分證
휴대폰 본인인증 시 아이디 확인이 가능합니다.,You can check your ID when authenticating your phone number.,您可以在驗證電話號碼時檢查您的 ID。
리앤핏 가입 시,Why is,為什麼是
본인인증,RenFit Authentication,仁菲認證
이\n필요한 이유가 뭔가요?,necessary when joining RenFit?,加入RenFit時有必要嗎？
"리앤핏은 명의도용 방지, 실명 확인을 통한 정확한 정보 제공을 위해 본인인증을 실시하고 있습니다.",RenFit conducts authentication to prevent identity theft and ensure accurate information through real-name verification.,RenFit透過實名認證進行身份驗證，防止身分盜用並確保資訊準確。
아이디 확인,ID Verification,身份驗證
회원님의 정보와 일치하는 아이디 목록입니다.,List of IDs that match your information.,與您的資訊相符的 ID 清單。
로그인 하러가기,Go to Login,前往登入
비밀번호 찾기,Find Password,尋找密碼
입력하신 정보와 일치하는 아이디가 존재하지 않습니다.,There is no ID that matches the entered information.,沒有與輸入的資訊相符的 ID。
회원가입 하러가기,Go to Sign Up,前往註冊
잠시만 기다려주세요...,Please wait a moment...,請稍等...
아이디 (이메일),ID (Email),身分證（電子郵件）
비밀번호,Password,密碼
비밀번호 확인,Confirm Password,確認密碼
"영문, 숫자, 특수문자를 조합하여 8~20자로 입력해주세요","Please enter a combination of letters, numbers, and special characters (8-20 characters).",請輸入字母、數字和特殊字元（8-20 個字元）的組合。
사용할 수 있는 비밀번호 입니다,You can use this password.,您可以使用該密碼。
비밀번호가 일치하지 않습니다,Passwords do not match.,密碼不符。
비밀번호 일치!,Passwords match!,密碼匹配！
휴대폰 번호,Phone Number,電話號碼
닫기,Close,關閉
로그인 하러 가기,Go to Login,前往登入
이미 리앤핏 회원이시네요,You are already a member of RenFit.,您已經是 RenFit 的會員。
이미 가입된 회원입니다.\n로그인을 진행할까요?,You are already a registered member. Do you want to proceed with the login?,您已經是註冊會員了。您想繼續登入嗎？
이메일 형식에 맞지 않습니다,Invalid email format.,電子郵件格式無效。
이미 사용중인 아이디 입니다,This email is already in use.,該電子郵件已被使用。
